constellation,stars,date,azMin,azMax
Estrela Vagalume (Uam-rana),['α CMa'],2026-01-01,96.9880404182388,263.01128059892585
Estrela Tinguaçu (Tinguaçu),['41 Ari'],2026-01-03,298.5592918628439,417.4186428600817
Cobra de Fogo (Mboi Tatá),"['α Sco', 'τ Sco', 'ε Sco', 'μ Sco', 'ζ² Sco', 'η Sco', 'ι¹ Sco', 'θ Sco', 'λ Sco', 'κ Sco']",2026-06-04,111.91711142797314,248.08281471888043
Cervo (Guaśú / Suçu-Guasu),"['β Car', '117 Vel', 'Ψ Vel', 'λ Vel', 'γ Vel', 'δ Vel', 'κ Vel', 'φ Vel', 'ι Car', 'q Car', 'π Cen', 'γ Cru', 'β Cru', 'α Cru', 'γ Mus', 'δ Mus']",2026-07-04,155.87317968893677,232.02125146869673
Poço do Caititu (Coxi Huguá),['SMC'],2026-10-04,162.02705894587513,194.92685429840162
Canoa (Yar Ragapaw),"['η UMa', 'ζ UMa', 'ε UMa', 'δ UMa', 'γ UMa']",2026-04-05,326.95354175905413,398.16636547248106
Homem Velho (Tuiváe),"['α Ori', 'γ Ori', 'β Ori', 'δ Ori', 'ε Ori', 'ζ Ori', 'κ Ori', 'π³ Ori', 'π⁵ Ori', '15 Ori', 'β Eri', 'α Tau', 'M45']",2026-12-06,272.92509204720807,459.9303695224454
Poço do Tapir (Tapí’i Huguá),['LMC'],2026-12-12,158.95483917516927,197.81753712589983
Encantado da Fertilidade (Joykexo),"['δ Ori', 'ε Ori', 'ζ Ori']",2026-12-15,280.0326356312585,451.6815798244089
Jabuti (Zauxihu Ragapaw),"['α CrB', 'β CrB', 'γ CrB', 'δ CrB', 'ε CrB', 'ι CrB', 'θ CrB']",2026-05-18,308.3651080024592,422.855191137342
Plêiades (Seichú),"['16 Tau', '17 Tau', '19 Tau', '20 Tau', '21 Tau', '23 Tau', '25 Tau']",2026-11-18,306.8041015437077,424.9826927303225
Arapuca (Aka’ekorá / Seichu Jurá),"['β Peg', 'α Peg', 'γ Peg', 'α And', 'δ And', 'α Tri', '41 Ari', 'M-45']",2026-10-20,286.13374410412314,434.0056220129148
Pata da Ema (Nhandu pysá),"['α Cru', 'β Cru', 'γ Cru', 'δ Cru']",2026-03-28,145.90492133847138,209.72002295153496
Ema (Guirá Nhandú),"['α Cen', 'β Cen', 'α Mus', 'β Cir', 'β TrA', 'ε¹ Ara', 'α Ara', 'θ Sco', 'γ Sco', 'α Sco', 'δ Sco', 'ζ Lup', 'γ Lup']",2026-05-28,106.82336485340845,253.17405680194528
Seriema (Azim),"['λ Sco', 'ν Sco', 'κ Sco', 'ε Sgr', 'η Sgr', 'λ CrA', 'ε CrA', 'ν686 CrA', 'α CrA', 'β CrA', 'δ CrA', 'ζ CrA']",2026-06-28,102.33265804712843,257.66653073403944
Queixada da Anta (Tapí’i Rainhykä),"['α Tau', 'δ¹ Tau', 'δ³ Tau', 'ε Tau', 'γ Tau', 'θ² Tau']",2026-11-28,297.92929378048353,433.38657844970066
Onça Celeste (Xivi / Charia),['α Sco'],2026-05-30,111.91819462103898,247.97026951271323
Onça Celeste (Xivi / Charia),['α Tau'],2026-11-30,299.89119531957977,432.6969393996936
Colibri (Mainamy),"['γ Crv', 'α Crv', 'β Crv', 'δ Crv', 'ε Crv']",2026-03-31,96.76856506506243,263.23123059316555
Ovos de Pássaro (Guirá rupiá),"['δ Mus', 'γ Mus']",2026-03-31,160.9966800334367,195.4095706217727
Anta do Norte (Tapí’i),"['α Cyg', 'T Cyg', '72 Cyg', 'V Cyg', 'π² Cyg', 'α Cep', 'ι Cep', 'β Cas', '32 Cas', 'δ Cas', 'η Cas', 'ξ Cas', 'λ And', '2 Lac']",2026-08-31,306.3310495894355,413.8950588538509
